user_id,session_id,timestamp,completed,liked,tags
user_2,session_1,2025-06-29T23:40:23.637314,True,False,"['sleep', 'breathing']"
user_8,session_4,2025-06-05T23:40:23.637367,False,True,"['breathing', 'focus', 'anxiety']"
user_2,session_2,2025-06-22T23:40:23.637382,True,False,"['stress', 'anxiety', 'focus']"
user_1,session_9,2025-06-14T23:40:23.637398,True,True,"['stress', 'sleep']"
user_5,session_6,2025-06-25T23:40:23.637434,True,False,"['breathing', 'stress', 'sleep']"
user_9,session_4,2025-06-28T23:40:23.637452,True,True,['sleep']
user_8,session_6,2025-06-08T23:40:23.637466,True,False,['sleep']
user_1,session_1,2025-06-02T23:40:23.637482,True,False,"['stress', 'anxiety']"
user_8,session_2,2025-06-12T23:40:23.637499,False,False,"['sleep', 'anxiety']"
user_10,session_8,2025-06-19T23:40:23.637522,True,False,['anxiety']
user_8,session_6,2025-06-13T23:40:23.637537,False,False,"['breathing', 'stress', 'sleep']"
user_6,session_10,2025-06-01T23:40:23.637552,True,False,"['sleep', 'breathing', 'focus']"
user_1,session_5,2025-06-11T23:40:23.637567,False,True,['stress']
user_1,session_3,2025-06-08T23:40:23.637580,False,True,['stress']
user_7,session_9,2025-06-24T23:40:23.637594,False,True,['anxiety']
user_1,session_6,2025-06-19T23:40:23.637608,False,True,"['focus', 'sleep', 'stress']"
user_6,session_10,2025-06-16T23:40:23.637623,True,False,"['sleep', 'breathing']"
user_6,session_9,2025-06-19T23:40:23.637637,False,False,['breathing']
user_9,session_9,2025-06-21T23:40:23.637650,False,False,"['breathing', 'anxiety', 'focus']"
user_3,session_6,2025-06-02T23:40:23.637665,False,False,"['stress', 'focus']"
user_8,session_3,2025-06-18T23:40:23.637678,True,False,"['focus', 'stress']"
user_6,session_1,2025-06-21T23:40:23.637691,False,True,"['focus', 'stress']"
user_7,session_3,2025-06-07T23:40:23.637705,True,False,"['gratitude', 'focus']"
user_8,session_5,2025-06-14T23:40:23.637718,True,False,"['breathing', 'gratitude']"
user_3,session_8,2025-06-14T23:40:23.637744,False,False,"['sleep', 'breathing']"
user_8,session_1,2025-06-23T23:40:23.637769,False,False,"['breathing', 'anxiety']"
user_3,session_6,2025-06-29T23:40:23.637782,False,True,"['sleep', 'gratitude']"
user_5,session_3,2025-06-19T23:40:23.637795,True,True,['sleep']
user_10,session_7,2025-06-21T23:40:23.637808,True,True,"['stress', 'sleep']"
user_10,session_10,2025-06-25T23:40:23.637821,True,True,['anxiety']
user_6,session_5,2025-06-28T23:40:23.637834,False,False,"['gratitude', 'breathing', 'sleep']"
user_2,session_6,2025-06-08T23:40:23.637848,False,False,"['breathing', 'anxiety']"
user_4,session_7,2025-06-22T23:40:23.637864,True,False,"['sleep', 'anxiety']"
user_1,session_5,2025-06-06T23:40:23.637879,False,True,"['sleep', 'breathing', 'gratitude']"
user_9,session_3,2025-06-02T23:40:23.637907,True,False,['anxiety']
user_3,session_2,2025-06-08T23:40:23.637922,True,True,"['stress', 'breathing', 'focus']"
user_6,session_6,2025-06-09T23:40:23.637937,False,True,"['anxiety', 'stress', 'focus']"
user_1,session_9,2025-06-14T23:40:23.637953,True,True,"['breathing', 'gratitude']"
user_6,session_1,2025-06-14T23:40:23.637968,False,False,['breathing']
user_8,session_2,2025-06-21T23:40:23.637983,False,True,"['focus', 'breathing', 'sleep']"
user_2,session_7,2025-06-23T23:40:23.637999,False,True,['breathing']
user_9,session_6,2025-06-12T23:40:23.638014,True,True,"['stress', 'anxiety']"
user_7,session_7,2025-06-15T23:40:23.638028,False,True,"['focus', 'stress']"
user_5,session_1,2025-06-04T23:40:23.638044,True,True,['stress']
user_3,session_3,2025-06-25T23:40:23.638058,False,True,"['stress', 'gratitude']"
user_9,session_4,2025-06-03T23:40:23.638073,True,False,"['anxiety', 'gratitude', 'breathing']"
user_2,session_4,2025-06-16T23:40:23.638088,True,True,"['sleep', 'breathing', 'focus']"
user_5,session_4,2025-06-06T23:40:23.638104,True,True,['stress']
user_8,session_9,2025-05-31T23:40:23.638121,True,False,"['gratitude', 'stress']"
user_7,session_4,2025-06-01T23:40:23.638136,True,True,['breathing']
user_4,session_2,2025-06-29T23:40:23.638150,True,False,"['gratitude', 'breathing']"
user_4,session_2,2025-06-18T23:40:23.638164,True,False,"['gratitude', 'focus', 'stress']"
user_1,session_6,2025-06-05T23:40:23.638180,False,False,['anxiety']
user_2,session_4,2025-06-28T23:40:23.638195,False,False,['breathing']
user_7,session_3,2025-06-11T23:40:23.638209,True,True,['anxiety']
user_3,session_4,2025-06-12T23:40:23.638223,True,False,['focus']
user_3,session_3,2025-06-15T23:40:23.638237,True,True,"['breathing', 'sleep', 'stress']"
user_1,session_4,2025-06-21T23:40:23.638252,False,False,['focus']
user_1,session_8,2025-06-04T23:40:23.638265,False,False,['breathing']
user_9,session_4,2025-06-29T23:40:23.638280,True,True,['gratitude']
user_6,session_1,2025-06-15T23:40:23.638294,True,True,"['breathing', 'anxiety']"
user_7,session_3,2025-06-10T23:40:23.638308,True,True,"['stress', 'sleep', 'anxiety']"
user_7,session_7,2025-06-09T23:40:23.638324,True,False,"['breathing', 'focus']"
user_2,session_4,2025-06-07T23:40:23.638338,False,True,"['breathing', 'stress', 'sleep']"
user_5,session_7,2025-06-01T23:40:23.638353,True,False,"['stress', 'breathing', 'focus']"
user_7,session_7,2025-05-30T23:40:23.638369,False,True,"['anxiety', 'stress', 'focus']"
user_9,session_10,2025-06-20T23:40:23.638384,False,True,"['sleep', 'anxiety', 'breathing']"
user_9,session_1,2025-06-02T23:40:23.638400,False,False,"['gratitude', 'focus', 'anxiety']"
user_4,session_10,2025-05-31T23:40:23.638415,True,False,"['focus', 'sleep', 'breathing']"
user_10,session_3,2025-06-04T23:40:23.638430,True,True,['stress']
user_5,session_3,2025-06-06T23:40:23.638457,False,True,['breathing']
user_1,session_5,2025-06-01T23:40:23.638472,True,True,"['sleep', 'focus']"
user_3,session_7,2025-06-19T23:40:23.638489,False,True,"['breathing', 'sleep']"
user_1,session_2,2025-06-03T23:40:23.638504,False,True,"['focus', 'stress', 'sleep']"
user_2,session_5,2025-06-08T23:40:23.638520,False,True,['anxiety']
user_8,session_7,2025-06-19T23:40:23.638534,False,False,"['gratitude', 'anxiety', 'stress']"
user_6,session_2,2025-06-15T23:40:23.638550,True,True,['focus']
user_8,session_4,2025-06-07T23:40:23.638564,False,False,['gratitude']
user_10,session_5,2025-06-18T23:40:23.638578,False,True,"['stress', 'sleep', 'gratitude']"
user_8,session_1,2025-06-26T23:40:23.638594,False,False,"['focus', 'stress', 'sleep']"
user_2,session_10,2025-06-09T23:40:23.638609,True,True,"['focus', 'stress']"
user_9,session_6,2025-06-05T23:40:23.638624,False,False,"['gratitude', 'sleep']"
user_8,session_10,2025-06-18T23:40:23.638638,False,True,['breathing']
user_9,session_3,2025-06-23T23:40:23.638653,False,True,['sleep']
user_6,session_3,2025-06-05T23:40:23.638666,False,True,"['breathing', 'stress', 'gratitude']"
user_8,session_1,2025-06-19T23:40:23.638682,True,False,"['anxiety', 'stress']"
user_7,session_9,2025-06-14T23:40:23.638698,True,True,"['anxiety', 'stress']"
user_7,session_8,2025-06-07T23:40:23.638720,False,True,['breathing']
user_1,session_4,2025-06-29T23:40:23.638735,True,True,['anxiety']
user_3,session_9,2025-06-28T23:40:23.638749,False,True,"['breathing', 'gratitude', 'anxiety']"
user_1,session_6,2025-06-02T23:40:23.638764,True,True,['focus']
user_6,session_9,2025-06-07T23:40:23.638779,False,False,['stress']
user_2,session_2,2025-06-12T23:40:23.638794,False,False,['anxiety']
user_10,session_8,2025-05-31T23:40:23.638808,False,False,['sleep']
user_10,session_10,2025-06-03T23:40:23.638823,True,True,['focus']
user_4,session_9,2025-06-08T23:40:23.638837,False,False,['anxiety']
user_1,session_9,2025-06-29T23:40:23.638852,False,False,['sleep']
user_10,session_7,2025-06-01T23:40:23.638867,False,True,"['anxiety', 'breathing', 'focus']"
user_8,session_8,2025-06-12T23:40:23.638882,False,True,"['sleep', 'stress', 'anxiety']"
